Loading ...



file changed,removing cache [04b916889d1e01190c127aaea25102b8 != None]
len fTblCache: 0
len virtualOffs: 5095
end: 264085504


"Name","FunctionTable offset","FunctionTable Store offset"
"nActEmCommon::IdleToMove",0x0000000142cf4cb8,0x0000000143afa210
"nNpcAction::cActMotionSeqTalkLoop",0x0000000142d831c8,0x0000000143b22368
"nPlTransition::cEmoteMotion",0x0000000142d89550,0x0000000143b23b10
"cAIPacketQueue",0x0000000142eee240,0x00000001448316f0
"uGUIMatch",0x0000000142e2af60,0x0000000143b41ea0
"nMhEffect::MasterOnly",0x0000000142be91d0,0x0000000143a87e88
"nEmDtTune::cAttrData",0x0000000142d266a8,0x0000000143b077e0
"cNpcTalkMotionPackList",0x0000000142da4b50,0x0000000143b2acd0
"rEffectColorTable",0x0000000142eb21f8,0x000000014482b8e0
"uGUIGroupList",0x0000000142c1d678,0x0000000143a92688
"nSpeedTree::GlobalWindControl",0x0000000142efdb60,0x0000000144836568
"cAttackSpeedTreeWindParam",0x0000000142b11f30,0x0000000143a34678
"nWwise::WwiseAuxSendsInfo",0x0000000142eb9540,0x000000014482cd00
"nPlCamAct::cPlayMotionCamBase",0x0000000142c60140,0x0000000143a961e8
"nEmDtTune::cRideGaudeData",0x0000000142d27368,0x0000000143b078c0
"nAIPositionPick::PointEvaluaterList",0x0000000142eeebd8,0x0000000144831bc0
"nHmTransition::cCreepOut",0x0000000142d4d610,0x0000000143b12108
"uCnsFishBody",0x0000000142dd3ae0,0x0000000143b33558
"nPugee::cSearchItemZoneActionHolder",0x0000000142be9d60,0x0000000143a88940
"cPacketQuestJoinFromDiscover",0x0000000142beee78,0x0000000143a8b470
"cNpcLookAtList",0x0000000142da4730,0x0000000143b2ab80
"cWhistleDataXML",0x0000000142c6c998,0x0000000143adec50
"nActEmCommon::ClimbHighWallMoveUp",0x0000000142cf4b80,0x0000000143afb518
"nPlCamAct::cTorrent",0x0000000142c60908,0x0000000143a964c0
"cPacketEmMasterChange",0x0000000142bebd20,0x0000000143a89cd0
"nAISubsystem::cAIBehaviorEndEvaluateWithChildEnd",0x0000000142ea9e80,0x0000000144829ff8
"nActOtomo::EarDamageS",0x0000000142d10580,0x0000000143b030f0
"uBakeInstancePlacement",0x0000000142e917c8,0x0000000144824c28
"cpEyeOcclusion",0x0000000142c3c7a8,0x0000000143a94eb0
"nActOtomo::MaskCloseAttack",0x0000000142d10000,0x0000000143b04af8
"cStoryNpcQuestDataXML",0x0000000142c6afc0,0x0000000143a986c0
"nMhNetwork::NetUserCreatedCharacterName",0x0000000142d7f0b8,0x0000000143b20680
"LightData",0x0000000142d78eb8,0x0000000143b1fcb8
"nPlCamAct::cFishBig",0x0000000142c608d8,0x0000000143a966f0
"cSetFishArea",0x0000000142dac3b8,0x0000000143b2d048
"nHmAction::cActDamageWindEnd",0x0000000142d33750,0x0000000143b0c1b8
"cpWwiseTimeline",0x0000000142c684d0,0x0000000143a97a90
"nHmAction::cActTraceFound",0x0000000142d36168,0x0000000143b0cf80
"nTimelineParam::CollisionTimelineObject",0x0000000142c3b858,0x0000000143a94bc0
"nHmAction::cActDamageWallEarEnd",0x0000000142d32848,0x0000000143b0cc38
"nActOtomo::EarDamageL",0x0000000142d10a28,0x0000000143b03128
"nPlCamAct::cGimmickWaitCam",0x0000000142c60fc8,0x0000000143a95b20
"nDraw::ShaderBuffer",0x0000000142eb8db0,0x000000014482c7b8
"sScene::SSSProfile",0x0000000142e86bc8,0x0000000144823c68
"nCollision::cGeometry",0x0000000142ea6168,0x0000000144828f88
"cPacketSysChatMsgOt",0x0000000142bef908,0x0000000143a8b978
"nHmAction::cActSlingerMushiAmiShot",0x0000000142d36208,0x0000000143b0d060
"cFacilityPlantLab",0x0000000142b241f8,0x0000000143a3a1d8
"rTentGimmickOfs::OffsetElem",0x0000000142da7e00,0x0000000143b2bbb8
"nWwise::WwiseEnumFloatConverterInfo",0x0000000142eb94c0,0x000000014482cb78
"cAIQueue",0x0000000142eaa710,0x000000014482a268
"cHumanControllerNpc",0x0000000142c33c88,0x0000000143a93818
"cPacketSysSessionInfo",0x0000000142d97e88,0x0000000143b27e50
"uVignettingOverrider",0x0000000142df6a50,0x0000000143b3f3c8
"cLeadersDeliveryXML",0x0000000142b391c0,0x0000000143a3beb8
"nTimelineParam::nWwiseTimeline::EventCollision",0x0000000142d94de0,0x0000000143b26c38
"uSpeedTreeInstance",0x0000000142efde18,0x0000000144836658
"nHm::cStaminaReduceParam",0x0000000142c71a50,0x0000000143ae0028
"cOnlineUserData",0x0000000142c3aa88,0x0000000143a946b0
"uBindBakeInstancePlacement",0x0000000142dd1e18,0x0000000143b33238
"nActOtomo::DigToNextArea",0x0000000142d11c10,0x0000000143b026e0
"nHmTransition::cDamageDurationEnd",0x0000000142d4dab0,0x0000000143b123e0
"nEmBank::cCnsList",0x0000000142d25ff0,0x0000000143b071c0
"cPlayerTransitionBase",0x0000000142c5fc80,0x0000000143a95598
"nQuestFSM::CheckNpcTiming",0x0000000142d8ee30,0x0000000143b252b0
"mpTimelineRes",0x000000013a7a71a2,
"uCnsLookAtJoint",0x0000000142dd47e8,0x0000000143b336e0
"nPlTransition::cRegetTransportGimmick",0x0000000142d8a868,0x0000000143b23870
"rPlantFertilizer",0x0000000142bf5228,0x0000000143a8d428
"uGUIItemPouch",0x0000000142e1b618,0x0000000143b41500
"nHmAction::cActRegetTransportGimmick",0x0000000142d35688,0x0000000143b0e720
"nNetwork::SessionDatabase",0x0000000142eaf5e8,0x000000014482b400
"MhPointLightBehavior",0x0000000142d7da68,0x0000000143b20518
"cHumanControllerPl",0x0000000142c33ea8,0x0000000143a93888
"nNpcAction::cNpcTurnActionBase",0x0000000142d82df0,0x0000000143b20c38
"nCollision::cScrGeometryGroupParam",0x0000000142ef8a60,0x0000000144834890
"cAIDEnum",0x0000000142ea4bf8,0x0000000144828ab8
"nActOtomo::EquipMenuMyHouseEnd",0x0000000142d12d38,0x0000000143b04660
"nHmAction::cActMudIdle",0x0000000142d36ca8,0x0000000143b0c768
"cNetworkGuildCardService",0x0000000142b20c00,0x0000000143a38c68
"uGUIReward",0x0000000142e1f240,0x0000000143b417e0
"nAISubsystem::cAIQueueCommand",0x0000000142e9bb10,0x00000001448271b8
"rEmPartsBreakCtrl::PartsStateInfo",0x0000000142d9e808,0x0000000143b29748
"cExpeditionRem",0x0000000142b19468,0x0000000143a370d0
"nQuestFSM::TutorialReqFromMotion",0x0000000142d8fa90,0x0000000143b25da0
"uBindModelInstance",0x0000000142dd2710,0x0000000143b332b0
"nNpcAction::cActFastItemWait",0x0000000142d83c48,0x0000000143b21e60
"nEffect::Homing",0x0000000142ef57a0,0x00000001448338a0
"rEmFlyParam",0x0000000142d9e0d8,0x0000000143b29550
"nActOtomo::DashToDestination",0x0000000142d105d0,0x0000000143b01f70
"uNewDOFFilter",0x0000000142e9e1a0,0x0000000144827788
"cGUIObjPolygon",0x0000000142e8cb00,0x0000000144824370
"rCameraRotation",0x0000000142d9b418,0x0000000143b289b8
"cEmLookAtDecider",0x0000000142b21e40,0x0000000143a39448
"cGUIGuildcardContest",0x0000000142b1a718,0x0000000143a374c0
"rExpeditionRem",0x0000000142bf2b50,0x0000000143a8ca18
"MtGeomPlane",0x0000000143572c18,0x000000014485c498
"nZone::ShapeInfoLine",0x0000000142ea1478,0x0000000144828108
"cTimer",0x0000000142c6b428,0x0000000143a988c8
"nEmAI::SlaveBehavior",0x0000000142c70830,0x0000000143adfe58
"nActOtomo::FollowStopNearFront",0x0000000142d10a90,0x0000000143b021d8
"nHmTransition::cRideEndure",0x0000000142d4c3d8,0x0000000143b11d88
"cpObjCollision::cNodeGeomIterator",0x0000000142c66248,0x0000000143a97230
"cKeyboardPad",0x0000000142b20090,0x0000000143a38680
"cSetObjectUnitHolder",0x0000000142c69708,0x0000000143a97f68
"nAISubsystem::cAIBehaviorRandomInfo",0x0000000142eabe40,0x000000014482a938
"nHmAction::cActWallEggStart",0x0000000142d35268,0x0000000143b0b7e0
"rAIConditionTreeNode",0x0000000142ea4cb8,0x0000000144828af0
"nEmDtTune::cOtomoHateAdjust",0x0000000142d269f8,0x0000000143b086c0
"Palette",0x0000000142b1fcf0,0x0000000143a384b8
"nEffect::ColorCorrectFilter",0x0000000142efb2f0,0x0000000144835178
"sToolBase",0x0000000142ea98a0,0x0000000144829d08
"cPlayerParam",0x0000000142c3d7a0,0x0000000143a95528
"uGUIChatStamp",0x0000000142c15eb8,0x0000000143a92130
"rFacialPatternNum",0x0000000142d9fb40,0x0000000143b29bb0
"nEffect::RayCast",0x0000000142efb998,0x0000000144835248
"rAIPathBaseXml",0x0000000142eee538,0x0000000144831920
"nNetwork::SessionListener",0x0000000142eb8848,0x000000014482c588
"uGUIRingMake",0x0000000142c304c8,0x0000000143a93310
"nHmAction::cActChairActionLoopEnd",0x0000000142bdb658,0x0000000143a851f8
"nWwise::WwiseGameParameterParam",0x0000000142eb9728,0x000000014482cc20
"uMhDecal",0x0000000142e32180,0x0000000143b42950
"rOtomoArmorData",0x0000000142da53c8,0x0000000143b2afe0
"cGUIEffectFreeCursor",0x0000000142b1a550,0x0000000143a37418
"nAISubsystem::cAIMsgQueueCommand",0x0000000142ef1020,0x0000000144832a50
"nDraw::MaterialAnimation::Work",0x0000000142eaaf30,0x000000014482a590
"rTraceData",0x0000000142da8230,0x0000000143b2bd48
"nNpcAction::cActCampWait",0x0000000142d83390,0x0000000143b21fb0
"cStoryTargetDataXML",0x0000000142b61558,0x0000000143a48910
"nActOtomo::EquipChange",0x0000000142d10660,0x0000000143b046d0
"nQuestFSM::NpcActionGotoPos",0x0000000142d8fa40,0x0000000143b25208
"cGUIMonsterInfoBoss",0x0000000142b1d690,0x0000000143a37bd8
"cAcEquip",0x0000000142b11118,0x0000000143a33f38
"nMhEffect::ExternGuide",0x0000000142d7c7c0,0x0000000143b20350
"uBindMhEffect",0x0000000142bfece8,0x0000000143a907d8
"rAIDynamicLayout::ObjPath",0x0000000142ef8fb0,0x0000000144834a38
"nHmAction::Bust::cThroughTreeReaction",0x0000000142d49840,0x0000000143b10218
"nPlTransition::cBustFallCheck",0x0000000142d8a1b0,0x0000000143b23100
"aGallery",0x0000000142b0ea60,0x0000000143a33260
"uGuildCardCamera",0x0000000142c26208,0x0000000143a92cc8
"cNpcTextVoice",0x0000000142c39e50,0x0000000143a94448
"cSlingerAmmoHolder",0x0000000142c6ab58,0x0000000143a98390
"uCnsRotateAxisX",0x0000000142dd5010,0x0000000143b337f8
"uCnsRotateAxisY",0x0000000142dd5038,0x0000000143b33830
"nActOtomo::TalkCommon",0x0000000142d10bb8,0x0000000143b039e8
"uGUIEngagePrompt",0x0000000142c179f8,0x0000000143a922c8
"nHmTransition::cActionPhaseSub",0x0000000142d4d008,0x0000000143b12760
"nActPugee::ShakeHip",0x0000000142b594e8,0x0000000143a479d0
"nEffect::LightBehavior",0x0000000142eaed78,0x000000014482b358
"cPacketPlHealCancel",0x0000000142bede88,0x0000000143a8acc8
"uGmFlyBase",0x0000000142dcf3c8,0x0000000143b32ed0
"nPlCamAct::cWorm",0x0000000142c60a90,0x0000000143a95688
"cInputObjectScrollbarEvent",0x0000000142b1fc60,0x0000000143a38480
"nNpcAction::cActPointToWalk",0x0000000142d83fa8,0x0000000143b21ca0
"rRecorder",0x0000000142da69a0,0x0000000143b2b6e0
"uMhInfiniteLight",0x0000000142e33d58,0x0000000143b42c10
"nQuestFSM::MotionSeq",0x0000000142d8f448,0x0000000143b246e0
"rASkillParam",0x0000000142d9a040,0x0000000143b284e8
"nNetwork::Member",0x0000000142ef7ba8,0x0000000144834468
"uCnsGroup",0x0000000142ef1310,0x0000000144832c48
"rAIConditionTree::OperationNode",0x0000000142ea4d38,0x0000000144828b60
"nWwise::WwiseStateParam",0x0000000142eb9648,0x000000014482cbe8
"nHmAction::Bust::cActSlingerMushiAmiModeLoop",0x0000000142d49380,0x0000000143b105d0
"nPlCamAct::cWall",0x0000000142c60ca0,0x0000000143a956c0
"cOtGroupSetter",0x0000000142daca48,0x0000000143b2d2e8
"nHmAction::cActFaceupToWormHigh",0x0000000142d36060,0x0000000143b0daa8
"mCascadeBlend",0x0000000151050ce2,
"nAISubsystem::cAIBehaviorEvaluateInfo",0x0000000142ea9fc8,0x0000000144829e98
"uTimelineListTestModel",0x0000000142e5b678,0x0000000143b461c8
"rUnitResource::EnumProperty",0x0000000142da9138,0x0000000143b2c2f8
"nActGmFishBase::RandomTurn",0x0000000142d0eff8,0x0000000143b014b0
"nActEmCommon::DamageWaterSlide",0x0000000142cf5b98,0x0000000143afb710
"nHmAction::cActWallClimbHoleInLeft",0x0000000142d33820,0x0000000143b0aee8
"nAISubsystem::cAIListenerComponentForCallback",0x0000000142ef0fd8,0x0000000144832a18
"nHmTransition::cWormEnd",0x0000000142d4ce88,0x0000000143b124f8
"nWwise::CullingInfoCache",0x0000000142eb95e8,0x000000014482ca28
"nActOtomo::Sliding",0x0000000142d12160,0x0000000143b02948
"cGUILobbySearch",0x0000000142b1c7b0,0x0000000143a37af8
"nHmAction::cActWallDodge",0x0000000142d33320,0x0000000143b0b2d8
"rEmDamageAction",0x0000000142d9dcc0,0x0000000143b29438
"nEmDtTune::cPartsVitalRate::cData",0x0000000142d271b0,0x0000000143b08d50
"nHmAction::cActSlopeSlamFall",0x0000000142d366e0,0x0000000143b0cb90
"nEmFSM::EmMove",0x0000000142d29eb0,0x0000000143b08f48
"nHmAction::cActDieLandSmash",0x0000000142d36870,0x0000000143b0bea8
"rTutorialLinkData",0x0000000142da86c0,0x0000000143b2be28
"cBowUniqueData",0x0000000142b121e8,0x0000000143a347c8
"nHmAction::cActWallDash",0x0000000142d328e8,0x0000000143b0b2a0
"uGUIItemMakeBase",0x0000000142c21d58,0x0000000143a92a18
"nHmAction::cActUseItemPutBombSSuccess",0x0000000142d34a60,0x0000000143b0de60
"nQuestFSM::BeaconType",0x0000000142d8fd40,0x0000000143b25080
"mpScrHitShell",0x000000013a7a7275,
"nPlTransition::cTarzanForceEnd",0x0000000142d8a9e0,0x0000000143b23640
"nDraw::Resource",0x0000000142ea70d0,0x00000001448292e8
"nHmAction::cActWallOtomoOrder",0x0000000142d32e88,0x0000000143b0b4d0
"nHmAction::cActBigLeverSuccess",0x0000000142d34f00,0x0000000143b0f130
"VignettingPlug",0x0000000142d2c190,0x0000000143b098b0
"nEmAI::EventPlaying",0x0000000142c6f5c8,0x0000000143adfbb8
"rShakeCtrl",0x0000000142da7198,0x0000000143b2b868
"cItemMakeType",0x0000000142c389f8,0x0000000143a93b68
"nHmTransition::cHideIn",0x0000000142d4c6c0,0x0000000143b11b90
"voice",0x00000000d974ab82,
"sCollision::Node",0x0000000142ea5900,0x0000000144828e38
"rFacialPattern",0x0000000142eb9300,0x000000014482c8a0
"nActOtomo::ReachPop",0x0000000142d120d8,0x0000000143b02b78
"cPacketPlKitchenEffect",0x0000000142bee328,0x0000000143a8aef8
"nPlCamAct::cEquipSColorPl",0x0000000142c60730,0x0000000143a96060
"cPacketEmLateJoinSetupEndVerify",0x0000000142bebad0,0x0000000143a89bb8
"nEffect::PtBehavior",0x0000000142ef5658,0x0000000144833868
"rWwiseStateList",0x0000000142eed500,0x0000000144830a40
"nPlTransition::cGrassPush",0x0000000142d89ed8,0x0000000143b232f8
"nEmDtTune::cDtActionList",0x0000000142d266e0,0x0000000143b07508
"nEmDtTune::cDropPopPartsBreak",0x0000000142d273e8,0x0000000143b08340
"nPlTransition::cSlingerReload",0x0000000142d8a578,0x0000000143b22f40
"nActOtomo::RaftEnd",0x0000000142d10080,0x0000000143b02168
"nQuestFSM::NpcVillageActionSet",0x0000000142d90558,0x0000000143b25390
"nActOtomo::SetHealPlant",0x0000000142d11b50,0x0000000143b04120
"rSkillPointData",0x0000000142da79b8,0x0000000143b2ba60
"rJointExRev::cTransParam",0x0000000142da2130,0x0000000143b2a440
"nEffect::EffectEvent",0x0000000142eae800,0x000000014482b128
"uGuideInsect",0x0000000142e09f88,0x0000000143b406c0
"cMusicSkillData",0x0000000142b20978,0x0000000143a38b18
"nNetwork::Protocol",0x0000000142ef6f40,0x00000001448340a8
"rMusicSkillEfcData",0x0000000142bf4538,0x0000000143a8d0e0
"nDraw::BlendState",0x0000000142ef2498,0x0000000144832f20
"nEmAI::DamageBehavior",0x0000000142c6f208,0x0000000143adfad8
"cpWwiseCollisionTrigger",0x0000000142c68438,0x0000000143a97a58
"cOtomoFlatPreset",0x0000000142b21178,0x0000000143a38e60
"cTraceLogSetterHolder",0x0000000142dac260,0x0000000143b2d6d8
"nHmAction::cActMudWalk",0x0000000142d31b68,0x0000000143b0c7a0
"nTimelineParam::PlMotionInput",0x0000000142d89480,0x0000000143b22758
"rMonsterPartsManager::cPartsVisibleInfo",0x0000000142da4108,0x0000000143b2a9f8
"cSRecGimmickAllStatus",0x0000000142bf7fe8,0x0000000143a8de90
"uWeapon",0x0000000142e53220,0x0000000143b453d8
"MtHeapAllocator",0x0000000142e83bd0,0x00000001448237e8
"cPacketEmQuestDie",0x0000000142bebe70,0x0000000143a89d78
"nHmAction::cActUseItemBarrelSuccess",0x0000000142d32f48,0x0000000143b0dfe8
"cMotionSpeed",0x0000000142b20890,0x0000000143a38aa8
"cMakaItemXML",0x0000000142b207f0,0x0000000143a38a70
"BloomPlug",0x0000000142d2bdf8,0x0000000143b097d0
"cShellTableXML",0x0000000142c6a738,0x0000000143a980f0
"nAISubsystem::cAIListenerMovementComponentForMovementCommand",0x0000000142eabd28,0x000000014482a850
"cAIConditionTree",0x0000000142ea4880,0x0000000144828968
"uCnsChangeParent",0x0000000142dd3440,0x0000000143b33478
"nHmTransition::cSleepRequest",0x0000000142d4ccc0,0x0000000143b12060
"nNpcAction::cActKeyTalk",0x0000000142d834b8,0x0000000143b223a0
"cpUpperBodyAdjust",0x0000000142c68260,0x0000000143a979e0
"uMhEffectDecal",0x0000000142e33438,0x0000000143b42ae0
"cEmSetCommonData",0x0000000142daca18,0x0000000143b2d550
"nPlCamAct::cBandCam",0x0000000142c5fef0,0x0000000143a95b90
"nActEmCommon::CircleRunBrake",0x0000000142cf4860,0x0000000143afb8d0
"rExternalTexture",0x0000000142aaad28,0x0000000143a32e90
"cGUIInstSlider",0x0000000142b35de8,0x0000000143a3b628
"nEffect::ExternItem",0x0000000142eaca90,0x000000014482b080
"MtCollisionUtil::MtTreeDTI",0x0000000143571e98,0x000000014485c118
"cGUIPlStatus",0x0000000142b37798,0x0000000143a3bc18
